artikelcode,merk,omschrijving
1047515,Pragmalux,Pragmalux  LED Inbouw/Opbouw Downlight Luna G2 IP44 12W/18W 3000K-6000K 3-CCT 1400-2050lm Ø217 Buitenmaat - Gatmaat Ø65-185 incl. LED Driver
1047607,Pragmalux,Pragmalux  LED Inbouw/Opbouw Downlight Luna G2 IP44 15W/23W 3000K-6000K 3-CCT 1875-2875lm Ø290 Buitenmaat - Gatmaat Ø65-260 incl. LED Driver
1047522,Pragmalux,Pragmalux  LED Inbouw/Opbouw Downlight Luna G2 IP44 zwart frame Ø165 Buitenmaat
1047539,Pragmalux,Pragmalux  LED Inbouw/Opbouw Downlight Luna G2 IP44 zwart frame Ø217 Buitenmaat
2029125,Pragmalux,Pragmalux  LED Inbouw/Opbouw Downlight Luna G2 PIR wit IP54 15W/23W 3000K-6000K 3-CCT 1650-2450lm Ø300 Buitenmaat - Gatmaat Ø65-260 incl. LED Driver
1047614,Pragmalux,Pragmalux  LED Inbouw/Opbouw Downlight Luna G2 PIR wit IP54 9W/18W 3000K-6000K 3-CCT 1025-2000lm Ø227 Buitenmaat - Gatmaat Ø65-185 incl. LED Driver
2029132,Pragmalux,Pragmalux  LED Inbouw/Opbouw Downlight Luna G2 PIR zwart IP54 15W/23W 3000K-6000K 3-CCT 1650-2450lm Ø300 Buitenmaat - Gatmaat Ø65-260 incl. LED Driver
1047553,Pragmalux,Pragmalux  LED Inbouw/Opbouw Downlight Luna G2 PIR zwart IP54 9W/18W 3000K-6000K 3-CCT 1025-2000lm Ø227 Buitenmaat - Gatmaat Ø65-185 incl. LED Driver
4608310,Pragmalux,Pragmalux Bewegingssensor t.b.v. LED Waterdicht Armatuur Zeus/Hermes
1045436,Pragmalux,Pragmalux component LED Bulkhead Venus G2 CCT-schakelaar met kabel
1037158,Pragmalux,Pragmalux component Modul LED module frame zwart 9005
1037141,Pragmalux,Pragmalux component Modul LED module wit 15W 2000-2100lm 3000-4000K  2CCT
1047461,Pragmalux,Pragmalux Essence G2 PIR LED Driver 6-9W 150-220mA
1046730,Pragmalux,Pragmalux Essence G2/UGR LED Driver 15-21W 340-470mA
1046730-PR-EUR,Pragmalux,Pragmalux Essence G2/UGR LED Driver 15-21W 340-470mA incl. eurosnoer 2m wit
1046709,Pragmalux,Pragmalux Essence G2/UGR LED Driver 3-6W 65-135mA
1046709-PR-GST3,Pragmalux,Pragmalux Essence G2/UGR LED Driver 3-6W 65-135mA incl. GST18i3
1046716,Pragmalux,Pragmalux Essence G2/UGR LED Driver 6-9W 135-200mA
1046716-PR-EUR,Pragmalux,Pragmalux Essence G2/UGR LED Driver 6-9W 135-200mA incl. eurosnoer 2m wit
